IRIS ID;zone;vegetation;0-5cm;5-10cm;10-15cm;15-20cm;20-25cm;25-30cm;month;ID;ID_monthly;ID_plot
43a;low_marsh;veg;0.05986918;0.07895931;0.017092724;0.000529501;0.000912686;0.031001833;September;259;43;22
43b;low_marsh;veg;0.035087719;0.022189349;0.01275059;0.002800708;0.006410256;0.024916574;September;260;44;22
44a;low_marsh;veg;0.015546055;0.006410256;0.001144601;0.002975963;0.004428495;0.014051165;September;261;45;23
44b;low_marsh;veg;0.024857627;0.015126305;0.004916421;0.001890788;0.043866283;0.03017926;September;262;46;23
45a;low_marsh;veg;0.016058622;0.005739649;0.013288529;0.008775277;0.041968714;0.100801221;September;263;47;24
45b;low_marsh;veg;0.034684754;0.019346028;0.013337375;0.010059753;0.083724096;0.073816367;September;264;48;24
46a;high_marsh;non-veg;0.024836407;0.022648977;0.020189321;0.015540591;0.015126919;0.016309586;September;265;49;25
46b;high_marsh;non-veg;0.000915332;0.001949172;0.00104979;0;0.000150049;0.013522702;September;266;50;25
47a;high_marsh;non-veg;0.000457841;0;0.000149936;0;0;0.03029167;September;267;51;26
47b;high_marsh;non-veg;0.017772693;0.016792863;0.015143564;0.00322363;0;0.079991004;September;268;52;26
48a;high_marsh;non-veg;0.009390729;0.008914757;0.004568229;0.004199514;0.009506964;0.020414179;September;269;53;27
48b;high_marsh;non-veg;0.03524429;0.026178789;0.016052319;0.00698677;0.00037172;0.013079667;September;270;54;27
49a;high_marsh;non-veg;0.053724054;0.021066047;0.009595922;0;0.005322738;0.009306515;September;271;55;28
49b;high_marsh;non-veg;0.008696979;0.000224904;0;0.000224921;0.001725431;0.172351751;September;272;56;28
50a;high_marsh;non-veg;0.009224953;0.004830559;0.103078184;0.189083528;0.051196269;0.98381295;September;273;57;29
50b;high_marsh;non-veg;0.016284455;0.007676976;0.001115988;0.001485112;0.023379305;;September;274;58;29
51a;high_marsh;non-veg;0.001385895;0;0;0.000226895;0;;September;275;59;30
51b;high_marsh;non-veg;0;0;0;0;0.001949172;0.098312711;September;276;60;30
52a;high_marsh;veg;0.004540557;0.00098321;0.000453858;0.006731206;0.00990773;0.029345031;September;277;61;31
52b;high_marsh;veg;0.003705104;0;0;0.001337693;0.005127824;0.032178954;September;278;62;31
53a;high_marsh;veg;0.008773955;0.002420209;0;0;0;0.045609258;September;279;63;32
53b;high_marsh;veg;0.0011994;7.37E-05;0;0.000147351;0.000368378;0.012894194;September;280;64;32
54a;high_marsh;veg;0.010079414;0.000300075;0.000449337;0.004263276;0.013971306;0.043882679;September;281;65;33
54b;high_marsh;veg;0.000839118;0;0.00022531;0;0.009573741;0.021265284;September;282;66;33
55a;high_marsh;veg;0.001601831;7.50E-05;0.006372292;0.05345629;0.017555706;0.030481283;September;283;67;34
55b;high_marsh;veg;0.025482042;0.01843044;0.01122176;0.70984764;0.46764465;0.12357457;September;284;68;34
56a;high_marsh;veg;0.001601831;0.024589549;0.020166429;0.004797961;0.025938976;0.063668444;September;285;69;35
56b;high_marsh;veg;0.023213611;0.021700357;0.009661118;0.003715815;0;0.022146254;September;286;70;35
57a;high_marsh;veg;0.041596056;0.027455442;0.001739525;0.002193314;0.010361519;0.037437604;September;287;71;36
57b;high_marsh;veg;0.005830683;0.000223297;0.002378121;0.002229489;0.003269917;0.040651011;September;288;72;36
